
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_125c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_125c_3.30v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:17  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5043606711e+03	
1	1.5000000000e+00	2.4477426258e+03	
2	2.5000000000e+00	2.4115835793e+03	
3	3.5000000000e+00	2.3549427880e+03	
4	4.5000000000e+00	2.3390997772e+03	
5	5.5000000000e+00	2.2824594802e+03	
6	6.5000000000e+00	2.2462836504e+03	
7	7.5000000000e+00	2.1896204889e+03	
8	8.5000000000e+00	2.1936876427e+03	
9	9.5000000000e+00	2.1370503118e+03	
10	1.0500000000e+01	2.1008739083e+03	
11	1.1500000000e+01	2.0442135110e+03	
12	1.2500000000e+01	2.0283544565e+03	
13	1.3500000000e+01	1.9716947990e+03	
14	1.4500000000e+01	1.9355013828e+03	
15	1.5500000000e+01	1.8788185884e+03	
16	1.6500000000e+01	1.9028168783e+03	
17	1.7500000000e+01	1.8461870046e+03	
18	1.8500000000e+01	1.8100103925e+03	
19	1.9500000000e+01	1.7533571086e+03	
20	2.0500000000e+01	1.7374895873e+03	
21	2.1500000000e+01	1.6808370464e+03	
22	2.2500000000e+01	1.6446431500e+03	
23	2.3500000000e+01	1.5879671728e+03	
24	2.4500000000e+01	1.5920019823e+03	
25	2.5500000000e+01	1.5353530176e+03	
26	2.6500000000e+01	1.4991587862e+03	
27	2.7500000000e+01	1.4424861214e+03	
28	2.8500000000e+01	1.4266016520e+03	
29	2.9500000000e+01	1.3699299089e+03	
30	3.0500000000e+01	1.3337182014e+03	
31	3.1500000000e+01	1.2770226836e+03	
m_r_code0_ohm = 2.5043606711e+03
m_r_code31_ohm = 1.2770226836e+03
m_r_best_ohm = 1.4991587862e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 5.6080918839e-02
m_trim_step_pct = 3.1003010746e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

