
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_-40c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_-40c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:15  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7813974162e+03	
1	1.5000000000e+00	1.7266337112e+03	
2	2.5000000000e+00	1.7021624161e+03	
3	3.5000000000e+00	1.6473900313e+03	
4	4.5000000000e+00	1.6532292291e+03	
5	5.5000000000e+00	1.5984569222e+03	
6	6.5000000000e+00	1.5739813687e+03	
7	7.5000000000e+00	1.5192002797e+03	
8	8.5000000000e+00	1.5551548518e+03	
9	9.5000000000e+00	1.5003830106e+03	
10	1.0500000000e+01	1.4759074172e+03	
11	1.1500000000e+01	1.4211267809e+03	
12	1.2500000000e+01	1.4269654938e+03	
13	1.3500000000e+01	1.3721849395e+03	
14	1.4500000000e+01	1.3477050502e+03	
15	1.5500000000e+01	1.2929156582e+03	
16	1.6500000000e+01	1.3590256570e+03	
17	1.7500000000e+01	1.3042551157e+03	
18	1.8500000000e+01	1.2797795049e+03	
19	1.9500000000e+01	1.2250000745e+03	
20	2.0500000000e+01	1.2308374294e+03	
21	2.1500000000e+01	1.1760580802e+03	
22	2.2500000000e+01	1.1515781253e+03	
23	2.3500000000e+01	1.0967898541e+03	
24	2.4500000000e+01	1.1327449194e+03	
25	2.5500000000e+01	1.0779661473e+03	
26	2.6500000000e+01	1.0534861344e+03	
27	2.7500000000e+01	9.9869840237e+02	
28	2.8500000000e+01	1.0045351554e+03	
29	2.9500000000e+01	9.4974748429e+02	
30	3.0500000000e+01	9.2526310519e+02	
31	3.1500000000e+01	8.7046637663e+02	
m_r_code0_ohm = 1.7813974162e+03
m_r_code31_ohm = 8.7046637663e+02
m_r_best_ohm = 1.5003830106e+03
m_best_code = 9.0000000000e+00
m_best_err_pct = 2.5534036824e-02
m_trim_step_pct = 3.3757618940e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

