
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_125c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:16  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7224169011e+03	
1	1.5000000000e+00	1.6762905864e+03	
2	2.5000000000e+00	1.6521561787e+03	
3	3.5000000000e+00	1.6060190572e+03	
4	4.5000000000e+00	1.6038127708e+03	
5	5.5000000000e+00	1.5576756297e+03	
6	6.5000000000e+00	1.5335349380e+03	
7	7.5000000000e+00	1.4873868655e+03	
8	8.5000000000e+00	1.5068418245e+03	
9	9.5000000000e+00	1.4607053111e+03	
10	1.0500000000e+01	1.4365644548e+03	
11	1.1500000000e+01	1.3904169958e+03	
12	1.2500000000e+01	1.3882079274e+03	
13	1.3500000000e+01	1.3420604372e+03	
14	1.4500000000e+01	1.3179132360e+03	
15	1.5500000000e+01	1.2717547224e+03	
16	1.6500000000e+01	1.3128622751e+03	
17	1.7500000000e+01	1.2667276213e+03	
18	1.8500000000e+01	1.2425867592e+03	
19	1.9500000000e+01	1.1964411062e+03	
20	2.0500000000e+01	1.1942299953e+03	
21	2.1500000000e+01	1.1480842678e+03	
22	2.2500000000e+01	1.1239370089e+03	
23	2.3500000000e+01	1.0777801906e+03	
24	2.4500000000e+01	1.0972317973e+03	
25	2.5500000000e+01	1.0510867931e+03	
26	2.6500000000e+01	1.0269393562e+03	
27	2.7500000000e+01	9.8078319221e+02	
28	2.8500000000e+01	9.7856920780e+02	
29	2.9500000000e+01	9.3241299761e+02	
30	3.0500000000e+01	9.0825908900e+02	
31	3.1500000000e+01	8.6209161572e+02	
m_r_code0_ohm = 1.7224169011e+03
m_r_code31_ohm = 8.6209161572e+02
m_r_best_ohm = 1.5068418245e+03
m_best_code = 8.0000000000e+00
m_best_err_pct = 4.5612163504e-01
m_trim_step_pct = 3.2191971311e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

