
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_27c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_27c_3.30v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:15  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7495225532e+03	
1	1.5000000000e+00	1.6987873315e+03	
2	2.5000000000e+00	1.6745720305e+03	
3	3.5000000000e+00	1.6238257799e+03	
4	4.5000000000e+00	1.6261104476e+03	
5	5.5000000000e+00	1.5753641883e+03	
6	6.5000000000e+00	1.5511431089e+03	
7	7.5000000000e+00	1.5003858090e+03	
8	8.5000000000e+00	1.5289410579e+03	
9	9.5000000000e+00	1.4781954136e+03	
10	1.0500000000e+01	1.4539741948e+03	
11	1.1500000000e+01	1.4032174180e+03	
12	1.2500000000e+01	1.4055005807e+03	
13	1.3500000000e+01	1.3547438212e+03	
14	1.4500000000e+01	1.3305167576e+03	
15	1.5500000000e+01	1.2797487998e+03	
16	1.6500000000e+01	1.3345912378e+03	
17	1.7500000000e+01	1.2838472827e+03	
18	1.8500000000e+01	1.2596260284e+03	
19	1.9500000000e+01	1.2088707951e+03	
20	2.0500000000e+01	1.2111521382e+03	
21	2.1500000000e+01	1.1603969184e+03	
22	2.2500000000e+01	1.1361697675e+03	
23	2.3500000000e+01	1.0854032486e+03	
24	2.4500000000e+01	1.1139577370e+03	
25	2.5500000000e+01	1.0632032324e+03	
26	2.6500000000e+01	1.0389759351e+03	
27	2.7500000000e+01	9.8821004300e+02	
28	2.8500000000e+01	9.9048976635e+02	
29	2.9500000000e+01	9.3972392823e+02	
30	3.0500000000e+01	9.1549070192e+02	
31	3.1500000000e+01	8.6471341079e+02	
m_r_code0_ohm = 1.7495225532e+03
m_r_code31_ohm = 8.6471341079e+02
m_r_best_ohm = 1.5003858090e+03
m_best_code = 7.0000000000e+00
m_best_err_pct = 2.5720602793e-02
m_trim_step_pct = 3.3007734176e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

