
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_27c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_27c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:15  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7497806373e+03	
1	1.5000000000e+00	1.6992957296e+03	
2	2.5000000000e+00	1.6750942411e+03	
3	3.5000000000e+00	1.6245966955e+03	
4	4.5000000000e+00	1.6266467981e+03	
5	5.5000000000e+00	1.5761491534e+03	
6	6.5000000000e+00	1.5519409871e+03	
7	7.5000000000e+00	1.5014306673e+03	
8	8.5000000000e+00	1.5294914221e+03	
9	9.5000000000e+00	1.4789944133e+03	
10	1.0500000000e+01	1.4547860751e+03	
11	1.1500000000e+01	1.4042763153e+03	
12	1.2500000000e+01	1.4063246817e+03	
13	1.3500000000e+01	1.3558148961e+03	
14	1.4500000000e+01	1.3315998062e+03	
15	1.5500000000e+01	1.2810772091e+03	
16	1.6500000000e+01	1.3351582979e+03	
17	1.7500000000e+01	1.2846631411e+03	
18	1.8500000000e+01	1.2604547474e+03	
19	1.9500000000e+01	1.2099466891e+03	
20	2.0500000000e+01	1.2119929628e+03	
21	2.1500000000e+01	1.1614849230e+03	
22	2.2500000000e+01	1.1372696566e+03	
23	2.3500000000e+01	1.0867486681e+03	
24	2.4500000000e+01	1.1148084968e+03	
25	2.5500000000e+01	1.0643011779e+03	
26	2.6500000000e+01	1.0400858086e+03	
27	2.7500000000e+01	9.8956547404e+02	
28	2.8500000000e+01	9.9160985559e+02	
29	2.9500000000e+01	9.4108952678e+02	
30	3.0500000000e+01	9.1686729421e+02	
31	3.1500000000e+01	8.6633387177e+02	
m_r_code0_ohm = 1.7497806373e+03
m_r_code31_ohm = 8.6633387177e+02
m_r_best_ohm = 1.5014306673e+03
m_best_code = 7.0000000000e+00
m_best_err_pct = 9.5377821199e-02
m_trim_step_pct = 3.2895265540e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

