
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_-40c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_-40c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:16  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5710246591e+03	
1	1.5000000000e+00	2.5048574136e+03	
2	2.5000000000e+00	2.4681590874e+03	
3	3.5000000000e+00	2.4019754416e+03	
4	4.5000000000e+00	2.3947654477e+03	
5	5.5000000000e+00	2.3285823803e+03	
6	6.5000000000e+00	2.2918737084e+03	
7	7.5000000000e+00	2.2256741977e+03	
8	8.5000000000e+00	2.2476700594e+03	
9	9.5000000000e+00	2.1814890778e+03	
10	1.0500000000e+01	2.1447801556e+03	
11	1.1500000000e+01	2.0785825605e+03	
12	1.2500000000e+01	2.0713649165e+03	
13	1.3500000000e+01	2.0051680768e+03	
14	1.4500000000e+01	1.9684486782e+03	
15	1.5500000000e+01	1.9022351698e+03	
16	1.6500000000e+01	1.9535245367e+03	
17	1.7500000000e+01	1.8873483240e+03	
18	1.8500000000e+01	1.8506392526e+03	
19	1.9500000000e+01	1.7844461797e+03	
20	2.0500000000e+01	1.7772232262e+03	
21	2.1500000000e+01	1.7110309288e+03	
22	2.2500000000e+01	1.6743111761e+03	
23	2.3500000000e+01	1.6081019722e+03	
24	2.4500000000e+01	1.6300825869e+03	
25	2.5500000000e+01	1.5638927490e+03	
26	2.6500000000e+01	1.5271729255e+03	
27	2.7500000000e+01	1.4609660538e+03	
28	2.8500000000e+01	1.4537349275e+03	
29	2.9500000000e+01	1.3875289978e+03	
30	3.0500000000e+01	1.3507983311e+03	
31	3.1500000000e+01	1.2845752860e+03	
m_r_code0_ohm = 2.5710246591e+03
m_r_code31_ohm = 1.2845752860e+03
m_r_best_ohm = 1.5271729255e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 1.8115283691e+00
m_trim_step_pct = 3.2305126314e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

