
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ sf_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ sf_27c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:20  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1403932386e+03	
1	1.5000000000e+00	2.0835758654e+03	
2	2.5000000000e+00	2.0532804379e+03	
3	3.5000000000e+00	1.9964514848e+03	
4	4.5000000000e+00	1.9926741002e+03	
5	5.5000000000e+00	1.9358453987e+03	
6	6.5000000000e+00	1.9055430570e+03	
7	7.5000000000e+00	1.8487027117e+03	
8	8.5000000000e+00	1.8711868810e+03	
9	9.5000000000e+00	1.8143593099e+03	
10	1.0500000000e+01	1.7840568339e+03	
11	1.1500000000e+01	1.7272175834e+03	
12	1.2500000000e+01	1.7234362291e+03	
13	1.3500000000e+01	1.6665971586e+03	
14	1.4500000000e+01	1.6362877159e+03	
15	1.5500000000e+01	1.5794369681e+03	
16	1.6500000000e+01	1.6282309429e+03	
17	1.7500000000e+01	1.5714061058e+03	
18	1.8500000000e+01	1.5411035998e+03	
19	1.9500000000e+01	1.4842668915e+03	
20	2.0500000000e+01	1.4804826480e+03	
21	2.1500000000e+01	1.4236462365e+03	
22	2.2500000000e+01	1.3933366380e+03	
23	2.3500000000e+01	1.3364882632e+03	
24	2.4500000000e+01	1.3589656892e+03	
25	2.5500000000e+01	1.3021305385e+03	
26	2.6500000000e+01	1.2718208449e+03	
27	2.7500000000e+01	1.2149736777e+03	
28	2.8500000000e+01	1.2111852094e+03	
29	2.9500000000e+01	1.1543383970e+03	
30	3.0500000000e+01	1.1240215216e+03	
31	3.1500000000e+01	1.0671625633e+03	
m_r_code0_ohm = 2.1403932386e+03
m_r_code31_ohm = 1.0671625633e+03
m_r_best_ohm = 1.4842668915e+03
m_best_code = 1.9000000000e+01
m_best_err_pct = 1.0488739017e+00
m_trim_step_pct = 3.2441490692e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

