
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_125c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_125c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:17  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5048830780e+03	
1	1.5000000000e+00	2.4487760210e+03	
2	2.5000000000e+00	2.4126618281e+03	
3	3.5000000000e+00	2.3565283495e+03	
4	4.5000000000e+00	2.3402198745e+03	
5	5.5000000000e+00	2.2840868613e+03	
6	6.5000000000e+00	2.2479528725e+03	
7	7.5000000000e+00	2.1917933846e+03	
8	8.5000000000e+00	2.1948486576e+03	
9	9.5000000000e+00	2.1387188130e+03	
10	1.0500000000e+01	2.1025841684e+03	
11	1.1500000000e+01	2.0464277679e+03	
12	1.2500000000e+01	2.0301002356e+03	
13	1.3500000000e+01	1.9739444420e+03	
14	1.4500000000e+01	1.9377899514e+03	
15	1.5500000000e+01	1.8816073816e+03	
16	1.6500000000e+01	1.9040316636e+03	
17	1.7500000000e+01	1.8479101485e+03	
18	1.8500000000e+01	1.8117752424e+03	
19	1.9500000000e+01	1.7556267406e+03	
20	2.0500000000e+01	1.7392894303e+03	
21	2.1500000000e+01	1.6831415834e+03	
22	2.2500000000e+01	1.6469864864e+03	
23	2.3500000000e+01	1.5908114629e+03	
24	2.4500000000e+01	1.5938287686e+03	
25	2.5500000000e+01	1.5376849764e+03	
26	2.6500000000e+01	1.5015293671e+03	
27	2.7500000000e+01	1.4453581051e+03	
28	2.8500000000e+01	1.4290008845e+03	
29	2.9500000000e+01	1.3728305778e+03	
30	3.0500000000e+01	1.3366546346e+03	
31	3.1500000000e+01	1.2804568794e+03	
m_r_code0_ohm = 2.5048830780e+03
m_r_code31_ohm = 1.2804568794e+03
m_r_best_ohm = 1.5015293671e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 1.0195780608e-01
m_trim_step_pct = 3.0846504824e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

