
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ sf_-40c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ sf_-40c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:19  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1763481847e+03	
1	1.5000000000e+00	2.1160203082e+03	
2	2.5000000000e+00	2.0854420145e+03	
3	3.5000000000e+00	2.0251003450e+03	
4	4.5000000000e+00	2.0242852277e+03	
5	5.5000000000e+00	1.9639438355e+03	
6	6.5000000000e+00	1.9333577314e+03	
7	7.5000000000e+00	1.8730025303e+03	
8	8.5000000000e+00	1.9017068346e+03	
9	9.5000000000e+00	1.8413666003e+03	
10	1.0500000000e+01	1.8107803380e+03	
11	1.1500000000e+01	1.7504261772e+03	
12	1.2500000000e+01	1.7496073684e+03	
13	1.3500000000e+01	1.6892535402e+03	
14	1.4500000000e+01	1.6586594411e+03	
15	1.5500000000e+01	1.5982916244e+03	
16	1.6500000000e+01	1.6565768440e+03	
17	1.7500000000e+01	1.5962394942e+03	
18	1.8500000000e+01	1.5656531163e+03	
19	1.9500000000e+01	1.5053017118e+03	
20	2.0500000000e+01	1.5044796602e+03	
21	2.1500000000e+01	1.4441285514e+03	
22	2.2500000000e+01	1.4135341729e+03	
23	2.3500000000e+01	1.3531689759e+03	
24	2.4500000000e+01	1.3818673886e+03	
25	2.5500000000e+01	1.3215177049e+03	
26	2.6500000000e+01	1.2909232323e+03	
27	2.7500000000e+01	1.2305593357e+03	
28	2.8500000000e+01	1.2297333003e+03	
29	2.9500000000e+01	1.1693698168e+03	
30	3.0500000000e+01	1.1387673265e+03	
31	3.1500000000e+01	1.0783894993e+03	
m_r_code0_ohm = 2.1763481847e+03
m_r_code31_ohm = 1.0783894993e+03
m_r_best_ohm = 1.5044796602e+03
m_best_code = 2.0000000000e+01
m_best_err_pct = 2.9864401093e-01
m_trim_step_pct = 3.2843441200e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

