
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  5.00000e-01
No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_27c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Sat Sep  5 11:51:16  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5320862053e+03	
1	1.5000000000e+00	2.4700344235e+03	
2	2.5000000000e+00	2.4337064260e+03	
3	3.5000000000e+00	2.3716363358e+03	
4	4.5000000000e+00	2.3610035739e+03	
5	5.5000000000e+00	2.2989340510e+03	
6	6.5000000000e+00	2.2625937869e+03	
7	7.5000000000e+00	2.2005059678e+03	
8	8.5000000000e+00	2.2152504218e+03	
9	9.5000000000e+00	2.1531832924e+03	
10	1.0500000000e+01	2.1168427677e+03	
11	1.1500000000e+01	2.0547571141e+03	
12	1.2500000000e+01	2.0441142158e+03	
13	1.3500000000e+01	1.9820293037e+03	
14	1.4500000000e+01	1.9456763893e+03	
15	1.5500000000e+01	1.8835729058e+03	
16	1.6500000000e+01	1.9237610839e+03	
17	1.7500000000e+01	1.8616995683e+03	
18	1.8500000000e+01	1.8253588436e+03	
19	1.9500000000e+01	1.7632785506e+03	
20	2.0500000000e+01	1.7526294127e+03	
21	2.1500000000e+01	1.6905499022e+03	
22	2.2500000000e+01	1.6541965938e+03	
23	2.3500000000e+01	1.5920981821e+03	
24	2.4500000000e+01	1.6068224260e+03	
25	2.5500000000e+01	1.5447456938e+03	
26	2.6500000000e+01	1.5083922132e+03	
27	2.7500000000e+01	1.4462964773e+03	
28	2.8500000000e+01	1.4356366084e+03	
29	2.9500000000e+01	1.3735418196e+03	
30	3.0500000000e+01	1.3371755395e+03	
31	3.1500000000e+01	1.2750615789e+03	
m_r_code0_ohm = 2.5320862053e+03
m_r_code31_ohm = 1.2750615789e+03
m_r_best_ohm = 1.5083922132e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 5.5948087938e-01
m_trim_step_pct = 3.1801743674e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

