
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ fs_-40c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ fs_-40c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:11  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1770140110e+03	
1	1.5000000000e+00	2.1173776329e+03	
2	2.5000000000e+00	2.0868365002e+03	
3	3.5000000000e+00	2.0271805442e+03	
4	4.5000000000e+00	2.0257182492e+03	
5	5.5000000000e+00	1.9660624588e+03	
6	6.5000000000e+00	1.9355100880e+03	
7	7.5000000000e+00	1.8758347050e+03	
8	8.5000000000e+00	1.9031814557e+03	
9	9.5000000000e+00	1.8435271246e+03	
10	1.0500000000e+01	1.8129744122e+03	
11	1.1500000000e+01	1.7533003602e+03	
12	1.2500000000e+01	1.7518326023e+03	
13	1.3500000000e+01	1.6921588568e+03	
14	1.4500000000e+01	1.6615948610e+03	
15	1.5500000000e+01	1.6019013671e+03	
16	1.6500000000e+01	1.6581092176e+03	
17	1.7500000000e+01	1.5984587125e+03	
18	1.8500000000e+01	1.5679057191e+03	
19	1.9500000000e+01	1.5082352181e+03	
20	2.0500000000e+01	1.5067628934e+03	
21	2.1500000000e+01	1.4470927462e+03	
22	2.2500000000e+01	1.4165283122e+03	
23	2.3500000000e+01	1.3568381306e+03	
24	2.4500000000e+01	1.3841764105e+03	
25	2.5500000000e+01	1.3245081414e+03	
26	2.6500000000e+01	1.2939434947e+03	
27	2.7500000000e+01	1.2342550576e+03	
28	2.8500000000e+01	1.2327769141e+03	
29	2.9500000000e+01	1.1730889749e+03	
30	3.0500000000e+01	1.1425128141e+03	
31	3.1500000000e+01	1.0828046842e+03	
m_r_code0_ohm = 2.1770140110e+03
m_r_code31_ohm = 1.0828046842e+03
m_r_best_ohm = 1.5067628934e+03
m_best_code = 2.0000000000e+01
m_best_err_pct = 4.5085955676e-01
m_trim_step_pct = 3.2597822646e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

