
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_27c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:10  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5320865217e+03	
1	1.5000000000e+00	2.4700347082e+03	
2	2.5000000000e+00	2.4337067115e+03	
3	3.5000000000e+00	2.3716365988e+03	
4	4.5000000000e+00	2.3610038231e+03	
5	5.5000000000e+00	2.2989343240e+03	
6	6.5000000000e+00	2.2625940616e+03	
7	7.5000000000e+00	2.2005061794e+03	
8	8.5000000000e+00	2.2152506953e+03	
9	9.5000000000e+00	2.1531835448e+03	
10	1.0500000000e+01	2.1168429878e+03	
11	1.1500000000e+01	2.0547573400e+03	
12	1.2500000000e+01	2.0441144534e+03	
13	1.3500000000e+01	1.9820295347e+03	
14	1.4500000000e+01	1.9456765850e+03	
15	1.5500000000e+01	1.8835730703e+03	
16	1.6500000000e+01	1.9237613635e+03	
17	1.7500000000e+01	1.8616998262e+03	
18	1.8500000000e+01	1.8253591072e+03	
19	1.9500000000e+01	1.7632787778e+03	
20	2.0500000000e+01	1.7526296616e+03	
21	2.1500000000e+01	1.6905501249e+03	
22	2.2500000000e+01	1.6541968092e+03	
23	2.3500000000e+01	1.5920983834e+03	
24	2.4500000000e+01	1.6068226470e+03	
25	2.5500000000e+01	1.5447459039e+03	
26	2.6500000000e+01	1.5083924196e+03	
27	2.7500000000e+01	1.4462966391e+03	
28	2.8500000000e+01	1.4356368119e+03	
29	2.9500000000e+01	1.3735419740e+03	
30	3.0500000000e+01	1.3371757289e+03	
31	3.1500000000e+01	1.2750617563e+03	
m_r_code0_ohm = 2.5320865217e+03
m_r_code31_ohm = 1.2750617563e+03
m_r_best_ohm = 1.5083924196e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 5.5949464105e-01
m_trim_step_pct = 3.1801742762e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

