
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ tt_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ tt_125c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:09  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1131637489e+03	
1	1.5000000000e+00	2.0615505561e+03	
2	2.5000000000e+00	2.0313836978e+03	
3	3.5000000000e+00	1.9797556570e+03	
4	4.5000000000e+00	1.9709507758e+03	
5	5.5000000000e+00	1.9193229039e+03	
6	6.5000000000e+00	1.8891462290e+03	
7	7.5000000000e+00	1.8375034251e+03	
8	8.5000000000e+00	1.8497382830e+03	
9	9.5000000000e+00	1.7981118678e+03	
10	1.0500000000e+01	1.7679349441e+03	
11	1.1500000000e+01	1.7162934815e+03	
12	1.2500000000e+01	1.7074814133e+03	
13	1.3500000000e+01	1.6558401865e+03	
14	1.4500000000e+01	1.6256533132e+03	
15	1.5500000000e+01	1.5739969488e+03	
16	1.6500000000e+01	1.6072822452e+03	
17	1.7500000000e+01	1.5556595637e+03	
18	1.8500000000e+01	1.5254826106e+03	
19	1.9500000000e+01	1.4738446903e+03	
20	2.0500000000e+01	1.4650285666e+03	
21	2.1500000000e+01	1.4133908961e+03	
22	2.2500000000e+01	1.3832038574e+03	
23	2.3500000000e+01	1.3315508590e+03	
24	2.4500000000e+01	1.3437729993e+03	
25	2.5500000000e+01	1.2921369777e+03	
26	2.6500000000e+01	1.2619497426e+03	
27	2.7500000000e+01	1.2102982804e+03	
28	2.8500000000e+01	1.2014746028e+03	
29	2.9500000000e+01	1.1498234491e+03	
30	3.0500000000e+01	1.1196259921e+03	
31	3.1500000000e+01	1.0679593021e+03	
m_r_code0_ohm = 2.1131637489e+03
m_r_code31_ohm = 1.0679593021e+03
m_r_best_ohm = 1.5254826106e+03
m_best_code = 1.8000000000e+01
m_best_err_pct = 1.6988407037e+00
m_trim_step_pct = 3.1570746574e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

