
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ tt_27c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ tt_27c_3.30v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:09  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1409346053e+03	
1	1.5000000000e+00	2.0846621978e+03	
2	2.5000000000e+00	2.0543975754e+03	
3	3.5000000000e+00	1.9981098042e+03	
4	4.5000000000e+00	1.9938217962e+03	
5	5.5000000000e+00	1.9375342260e+03	
6	6.5000000000e+00	1.9072603247e+03	
7	7.5000000000e+00	1.8509573335e+03	
8	8.5000000000e+00	1.8723656986e+03	
9	9.5000000000e+00	1.8160794729e+03	
10	1.0500000000e+01	1.7858053476e+03	
11	1.1500000000e+01	1.7295035985e+03	
12	1.2500000000e+01	1.7252101753e+03	
13	1.3500000000e+01	1.6689086953e+03	
14	1.4500000000e+01	1.6386252079e+03	
15	1.5500000000e+01	1.5823081288e+03	
16	1.6500000000e+01	1.6294503566e+03	
17	1.7500000000e+01	1.5731675849e+03	
18	1.8500000000e+01	1.5428933465e+03	
19	1.9500000000e+01	1.4865948271e+03	
20	2.0500000000e+01	1.4822975872e+03	
21	2.1500000000e+01	1.4259993757e+03	
22	2.2500000000e+01	1.3957156455e+03	
23	2.3500000000e+01	1.3394016155e+03	
24	2.4500000000e+01	1.3608009079e+03	
25	2.5500000000e+01	1.3045042800e+03	
26	2.6500000000e+01	1.2742203826e+03	
27	2.7500000000e+01	1.2179078388e+03	
28	2.8500000000e+01	1.2136048759e+03	
29	2.9500000000e+01	1.1572927097e+03	
30	3.0500000000e+01	1.1269992101e+03	
31	3.1500000000e+01	1.0706710468e+03	
m_r_code0_ohm = 2.1409346053e+03
m_r_code31_ohm = 1.0706710468e+03
m_r_best_ohm = 1.4865948271e+03
m_best_code = 1.9000000000e+01
m_best_err_pct = 8.9367819166e-01
m_trim_step_pct = 3.2245787370e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

