
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ fs_-40c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ fs_-40c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:11  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1764502801e+03	
1	1.5000000000e+00	2.1162201565e+03	
2	2.5000000000e+00	2.0856461063e+03	
3	3.5000000000e+00	2.0254019094e+03	
4	4.5000000000e+00	2.0244933458e+03	
5	5.5000000000e+00	1.9642494084e+03	
6	6.5000000000e+00	1.9336673933e+03	
7	7.5000000000e+00	1.8734093242e+03	
8	8.5000000000e+00	1.9019184628e+03	
9	9.5000000000e+00	1.8416757378e+03	
10	1.0500000000e+01	1.8110935447e+03	
11	1.1500000000e+01	1.7508366009e+03	
12	1.2500000000e+01	1.7499242076e+03	
13	1.3500000000e+01	1.6896675975e+03	
14	1.4500000000e+01	1.6590773490e+03	
15	1.5500000000e+01	1.5988064675e+03	
16	1.6500000000e+01	1.6567920897e+03	
17	1.7500000000e+01	1.5965523687e+03	
18	1.8500000000e+01	1.5659700596e+03	
19	1.9500000000e+01	1.5057159351e+03	
20	2.0500000000e+01	1.5048002303e+03	
21	2.1500000000e+01	1.4445464513e+03	
22	2.2500000000e+01	1.4139559939e+03	
23	2.3500000000e+01	1.3536877330e+03	
24	2.4500000000e+01	1.3821907418e+03	
25	2.5500000000e+01	1.3219384116e+03	
26	2.6500000000e+01	1.2913478297e+03	
27	2.7500000000e+01	1.2310809244e+03	
28	2.8500000000e+01	1.2301611323e+03	
29	2.9500000000e+01	1.1698946574e+03	
30	3.0500000000e+01	1.1392958351e+03	
31	3.1500000000e+01	1.0790147138e+03	
m_r_code0_ohm = 2.1764502801e+03
m_r_code31_ohm = 1.0790147138e+03
m_r_best_ohm = 1.5048002303e+03
m_best_code = 2.0000000000e+01
m_best_err_pct = 3.2001535222e-01
m_trim_step_pct = 3.2808771604e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

