
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ fs_-40c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ fs_-40c_3.30v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:11  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1766896452e+03	
1	1.5000000000e+00	2.1167121966e+03	
2	2.5000000000e+00	2.0861516295e+03	
3	3.5000000000e+00	2.0261578059e+03	
4	4.5000000000e+00	2.0250130013e+03	
5	5.5000000000e+00	1.9650194104e+03	
6	6.5000000000e+00	1.9344495051e+03	
7	7.5000000000e+00	1.8744394797e+03	
8	8.5000000000e+00	1.9024537493e+03	
9	9.5000000000e+00	1.8424614806e+03	
10	1.0500000000e+01	1.8118913332e+03	
11	1.1500000000e+01	1.7518825430e+03	
12	1.2500000000e+01	1.7507332341e+03	
13	1.3500000000e+01	1.6907247601e+03	
14	1.4500000000e+01	1.6601452335e+03	
15	1.5500000000e+01	1.6001201759e+03	
16	1.6500000000e+01	1.6573496320e+03	
17	1.7500000000e+01	1.5973607196e+03	
18	1.8500000000e+01	1.5667904103e+03	
19	1.9500000000e+01	1.5067847487e+03	
20	2.0500000000e+01	1.5056316055e+03	
21	2.1500000000e+01	1.4456263052e+03	
22	2.2500000000e+01	1.4150464662e+03	
23	2.3500000000e+01	1.3550243581e+03	
24	2.4500000000e+01	1.3830315014e+03	
25	2.5500000000e+01	1.3230278496e+03	
26	2.6500000000e+01	1.2924478482e+03	
27	2.7500000000e+01	1.2324272646e+03	
28	2.8500000000e+01	1.2312693060e+03	
29	2.9500000000e+01	1.1712491861e+03	
30	3.0500000000e+01	1.1406595822e+03	
31	3.1500000000e+01	1.0806224813e+03	
m_r_code0_ohm = 2.1766896452e+03
m_r_code31_ohm = 1.0806224813e+03
m_r_best_ohm = 1.5056316055e+03
m_best_code = 2.0000000000e+01
m_best_err_pct = 3.7544036510e-01
m_trim_step_pct = 3.2719109496e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

