
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ sf_125c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ sf_125c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:12  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1134404787e+03	
1	1.5000000000e+00	2.0620872261e+03	
2	2.5000000000e+00	2.0319392560e+03	
3	3.5000000000e+00	1.9805697933e+03	
4	4.5000000000e+00	1.9715239757e+03	
5	5.5000000000e+00	1.9201546213e+03	
6	6.5000000000e+00	1.8899958292e+03	
7	7.5000000000e+00	1.8386101582e+03	
8	8.5000000000e+00	1.8503278374e+03	
9	9.5000000000e+00	1.7989600012e+03	
10	1.0500000000e+01	1.7688009159e+03	
11	1.1500000000e+01	1.7174166473e+03	
12	1.2500000000e+01	1.7083628660e+03	
13	1.3500000000e+01	1.6569787718e+03	
14	1.4500000000e+01	1.6268087590e+03	
15	1.5500000000e+01	1.5754081595e+03	
16	1.6500000000e+01	1.6078910959e+03	
17	1.7500000000e+01	1.5565272455e+03	
18	1.8500000000e+01	1.5263681002e+03	
19	1.9500000000e+01	1.4749876129e+03	
20	2.0500000000e+01	1.4659293938e+03	
21	2.1500000000e+01	1.4145491288e+03	
22	2.2500000000e+01	1.3843788884e+03	
23	2.3500000000e+01	1.3329818757e+03	
24	2.4500000000e+01	1.3446855393e+03	
25	2.5500000000e+01	1.2933070124e+03	
26	2.6500000000e+01	1.2631365560e+03	
27	2.7500000000e+01	1.2117411843e+03	
28	2.8500000000e+01	1.2026746141e+03	
29	2.9500000000e+01	1.1512795505e+03	
30	3.0500000000e+01	1.1210978508e+03	
31	3.1500000000e+01	1.0696858483e+03	
m_r_code0_ohm = 2.1134404787e+03
m_r_code31_ohm = 1.0696858483e+03
m_r_best_ohm = 1.4749876129e+03
m_best_code = 1.9000000000e+01
m_best_err_pct = 1.6674924735e+00
m_trim_step_pct = 3.1476067725e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

