
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ sf_27c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ sf_27c_3.30v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:11  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1406065128e+03	
1	1.5000000000e+00	2.0840051507e+03	
2	2.5000000000e+00	2.0537215347e+03	
3	3.5000000000e+00	1.9971070744e+03	
4	4.5000000000e+00	1.9931269866e+03	
5	5.5000000000e+00	1.9365127496e+03	
6	6.5000000000e+00	1.9062212754e+03	
7	7.5000000000e+00	1.8495938716e+03	
8	8.5000000000e+00	1.8716519029e+03	
9	9.5000000000e+00	1.8150388818e+03	
10	1.0500000000e+01	1.7847472451e+03	
11	1.1500000000e+01	1.7281209601e+03	
12	1.2500000000e+01	1.7241363302e+03	
13	1.3500000000e+01	1.6675103352e+03	
14	1.4500000000e+01	1.6372107443e+03	
15	1.5500000000e+01	1.5805714152e+03	
16	1.6500000000e+01	1.6287120381e+03	
17	1.7500000000e+01	1.5721020395e+03	
18	1.8500000000e+01	1.5418103400e+03	
19	1.9500000000e+01	1.4851868945e+03	
20	2.0500000000e+01	1.4811989966e+03	
21	2.1500000000e+01	1.4245758657e+03	
22	2.2500000000e+01	1.3942761126e+03	
23	2.3500000000e+01	1.3376394505e+03	
24	2.4500000000e+01	1.3596898146e+03	
25	2.5500000000e+01	1.3030680845e+03	
26	2.6500000000e+01	1.2727681979e+03	
27	2.7500000000e+01	1.2161328588e+03	
28	2.8500000000e+01	1.2121401445e+03	
29	2.9500000000e+01	1.1555051839e+03	
30	3.0500000000e+01	1.1251971345e+03	
31	3.1500000000e+01	1.0685484670e+03	
m_r_code0_ohm = 2.1406065128e+03
m_r_code31_ohm = 1.0685484670e+03
m_r_best_ohm = 1.4851868945e+03
m_best_code = 1.9000000000e+01
m_best_err_pct = 9.8754036997e-01
m_trim_step_pct = 3.2364014057e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

