
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ tt_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ tt_27c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:09  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1406827480e+03	
1	1.5000000000e+00	2.0841557474e+03	
2	2.5000000000e+00	2.0538761145e+03	
3	3.5000000000e+00	1.9973356528e+03	
4	4.5000000000e+00	1.9932853634e+03	
5	5.5000000000e+00	1.9367451235e+03	
6	6.5000000000e+00	1.9064574144e+03	
7	7.5000000000e+00	1.8499036401e+03	
8	8.5000000000e+00	1.8718138598e+03	
9	9.5000000000e+00	1.8152748660e+03	
10	1.0500000000e+01	1.7849869725e+03	
11	1.1500000000e+01	1.7284343550e+03	
12	1.2500000000e+01	1.7243793751e+03	
13	1.3500000000e+01	1.6678270492e+03	
14	1.4500000000e+01	1.6375309898e+03	
15	1.5500000000e+01	1.5809649504e+03	
16	1.6500000000e+01	1.6288781341e+03	
17	1.7500000000e+01	1.5723422539e+03	
18	1.8500000000e+01	1.5420543002e+03	
19	1.9500000000e+01	1.4855046077e+03	
20	2.0500000000e+01	1.4814462691e+03	
21	2.1500000000e+01	1.4248968881e+03	
22	2.2500000000e+01	1.3946006486e+03	
23	2.3500000000e+01	1.3380373704e+03	
24	2.4500000000e+01	1.3599396628e+03	
25	2.5500000000e+01	1.3033917086e+03	
26	2.6500000000e+01	1.2730953363e+03	
27	2.7500000000e+01	1.2165334038e+03	
28	2.8500000000e+01	1.2124701040e+03	
29	2.9500000000e+01	1.1559085353e+03	
30	3.0500000000e+01	1.1256037668e+03	
31	3.1500000000e+01	1.0690281298e+03	
m_r_code0_ohm = 2.1406827480e+03
m_r_code31_ohm = 1.0690281298e+03
m_r_best_ohm = 1.4855046077e+03
m_best_code = 1.9000000000e+01
m_best_err_pct = 9.6635948869e-01
m_trim_step_pct = 3.2337319149e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

