
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ tt_125c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ tt_125c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:09  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.1139022073e+03	
1	1.5000000000e+00	2.0629882083e+03	
2	2.5000000000e+00	2.0328748256e+03	
3	3.5000000000e+00	1.9819418830e+03	
4	4.5000000000e+00	1.9724922668e+03	
5	5.5000000000e+00	1.9215593305e+03	
6	6.5000000000e+00	1.8914331824e+03	
7	7.5000000000e+00	1.8404812020e+03	
8	8.5000000000e+00	1.8513270758e+03	
9	9.5000000000e+00	1.8003957787e+03	
10	1.0500000000e+01	1.7702692306e+03	
11	1.1500000000e+01	1.7193187657e+03	
12	1.2500000000e+01	1.7098596575e+03	
13	1.3500000000e+01	1.6589092952e+03	
14	1.4500000000e+01	1.6287698649e+03	
15	1.5500000000e+01	1.5778002647e+03	
16	1.6500000000e+01	1.6089274449e+03	
17	1.7500000000e+01	1.5580006918e+03	
18	1.8500000000e+01	1.5278739964e+03	
19	1.9500000000e+01	1.4769278162e+03	
20	2.0500000000e+01	1.4674635095e+03	
21	2.1500000000e+01	1.4165174664e+03	
22	2.2500000000e+01	1.3863777098e+03	
23	2.3500000000e+01	1.3354121377e+03	
24	2.4500000000e+01	1.3462413772e+03	
25	2.5500000000e+01	1.2952972980e+03	
26	2.6500000000e+01	1.2651572192e+03	
27	2.7500000000e+01	1.2141934851e+03	
28	2.8500000000e+01	1.2047192393e+03	
29	2.9500000000e+01	1.1537557575e+03	
30	3.0500000000e+01	1.1236024688e+03	
31	3.1500000000e+01	1.0726192469e+03	
m_r_code0_ohm = 2.1139022073e+03
m_r_code31_ohm = 1.0726192469e+03
m_r_best_ohm = 1.4769278162e+03
m_best_code = 1.9000000000e+01
m_best_err_pct = 1.5381455836e+00
m_trim_step_pct = 3.1315653728e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

