
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_27c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_27c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:10  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7497808032e+03	
1	1.5000000000e+00	1.6992958664e+03	
2	2.5000000000e+00	1.6750943607e+03	
3	3.5000000000e+00	1.6245967932e+03	
4	4.5000000000e+00	1.6266469022e+03	
5	5.5000000000e+00	1.5761492689e+03	
6	6.5000000000e+00	1.5519410972e+03	
7	7.5000000000e+00	1.5014307760e+03	
8	8.5000000000e+00	1.5294915364e+03	
9	9.5000000000e+00	1.4789945178e+03	
10	1.0500000000e+01	1.4547861836e+03	
11	1.1500000000e+01	1.4042764096e+03	
12	1.2500000000e+01	1.4063247754e+03	
13	1.3500000000e+01	1.3558149767e+03	
14	1.4500000000e+01	1.3315999032e+03	
15	1.5500000000e+01	1.2810772929e+03	
16	1.6500000000e+01	1.3351584172e+03	
17	1.7500000000e+01	1.2846632611e+03	
18	1.8500000000e+01	1.2604548441e+03	
19	1.9500000000e+01	1.2099468065e+03	
20	2.0500000000e+01	1.2119930703e+03	
21	2.1500000000e+01	1.1614850070e+03	
22	2.2500000000e+01	1.1372697748e+03	
23	2.3500000000e+01	1.0867487608e+03	
24	2.4500000000e+01	1.1148085968e+03	
25	2.5500000000e+01	1.0643012815e+03	
26	2.6500000000e+01	1.0400858982e+03	
27	2.7500000000e+01	9.8956555214e+02	
28	2.8500000000e+01	9.9160995292e+02	
29	2.9500000000e+01	9.4108962463e+02	
30	3.0500000000e+01	9.1686737271e+02	
31	3.1500000000e+01	8.6633395856e+02	
m_r_code0_ohm = 1.7497808032e+03
m_r_code31_ohm = 8.6633395856e+02
m_r_best_ohm = 1.5014307760e+03
m_best_code = 7.0000000000e+00
m_best_err_pct = 9.5385063496e-02
m_trim_step_pct = 3.2895265190e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

