
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_27c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_27c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:10  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5328293917e+03	
1	1.5000000000e+00	2.4715552791e+03	
2	2.5000000000e+00	2.4352806971e+03	
3	3.5000000000e+00	2.3739815249e+03	
4	4.5000000000e+00	2.3626306823e+03	
5	5.5000000000e+00	2.3013320421e+03	
6	6.5000000000e+00	2.2650404009e+03	
7	7.5000000000e+00	2.2037166666e+03	
8	8.5000000000e+00	2.2169342769e+03	
9	9.5000000000e+00	2.1556385280e+03	
10	1.0500000000e+01	2.1193463305e+03	
11	1.1500000000e+01	2.0580253110e+03	
12	1.2500000000e+01	2.0466602432e+03	
13	1.3500000000e+01	1.9853399980e+03	
14	1.4500000000e+01	1.9490306371e+03	
15	1.5500000000e+01	1.8876850722e+03	
16	1.6500000000e+01	1.9255268387e+03	
17	1.7500000000e+01	1.8642382477e+03	
18	1.8500000000e+01	1.8279456109e+03	
19	1.9500000000e+01	1.7666313424e+03	
20	2.0500000000e+01	1.7552577776e+03	
21	2.1500000000e+01	1.6939443552e+03	
22	2.2500000000e+01	1.6576342821e+03	
23	2.3500000000e+01	1.5962951567e+03	
24	2.4500000000e+01	1.6094848154e+03	
25	2.5500000000e+01	1.5481750439e+03	
26	2.6500000000e+01	1.5118646580e+03	
27	2.7500000000e+01	1.4505289519e+03	
28	2.8500000000e+01	1.4391403955e+03	
29	2.9500000000e+01	1.3778058182e+03	
30	3.0500000000e+01	1.3414778498e+03	
31	3.1500000000e+01	1.2801172806e+03	
m_r_code0_ohm = 2.5328293917e+03
m_r_code31_ohm = 1.2801172806e+03
m_r_best_ohm = 1.5118646580e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 7.9097720200e-01
m_trim_step_pct = 3.1567473321e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

