
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_27c_3.63v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:10  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7493255476e+03	
1	1.5000000000e+00	1.6983977054e+03	
2	2.5000000000e+00	1.6741723046e+03	
3	3.5000000000e+00	1.6232347146e+03	
4	4.5000000000e+00	1.6257003875e+03	
5	5.5000000000e+00	1.5747628107e+03	
6	6.5000000000e+00	1.5505323164e+03	
7	7.5000000000e+00	1.4995849233e+03	
8	8.5000000000e+00	1.5285207166e+03	
9	9.5000000000e+00	1.4775836955e+03	
10	1.0500000000e+01	1.4533530996e+03	
11	1.1500000000e+01	1.4024062056e+03	
12	1.2500000000e+01	1.4048705965e+03	
13	1.3500000000e+01	1.3539237415e+03	
14	1.4500000000e+01	1.3296879863e+03	
15	1.5500000000e+01	1.2787311995e+03	
16	1.6500000000e+01	1.3341585062e+03	
17	1.7500000000e+01	1.2832230209e+03	
18	1.8500000000e+01	1.2589923901e+03	
19	1.9500000000e+01	1.2080469365e+03	
20	2.0500000000e+01	1.2105096892e+03	
21	2.1500000000e+01	1.1595642881e+03	
22	2.2500000000e+01	1.1353284433e+03	
23	2.3500000000e+01	1.0843729926e+03	
24	2.4500000000e+01	1.1133080837e+03	
25	2.5500000000e+01	1.0623632949e+03	
26	2.6500000000e+01	1.0381273686e+03	
27	2.7500000000e+01	9.8717248459e+02	
28	2.8500000000e+01	9.8963384958e+02	
29	2.9500000000e+01	9.3867903156e+02	
30	3.0500000000e+01	9.1443782093e+02	
31	3.1500000000e+01	8.6347282557e+02	
m_r_code0_ohm = 1.7493255476e+03
m_r_code31_ohm = 8.6347282557e+02
m_r_best_ohm = 1.4995849233e+03
m_best_code = 7.0000000000e+00
m_best_err_pct = 2.7671778955e-02
m_trim_step_pct = 3.3094144266e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

